,k_opt,n_opt,m_opt,m6_opt,s0_opt,error_opt,k_real,n_real,m_real,m6_real,s0_real,error
637,171.2662370003365,0.047491243960608026,0.012285866938824299,0.3391233465399633,70.88097107001673,2.08275940965763,100.0,0.6,0.05,0.0,200.0,5.437697130898239
638,171.34106255205322,0.044814447622399556,0.020540752970302733,0.31575521996654254,71.20770147398113,3.607552122913534,100.0,0.6,0.09,0.0,200.0,5.268278069497284
639,169.35854740783586,0.03623378033490601,0.03678616060457193,0.2712866777308569,71.97110440871175,10.376531331775439,100.0,0.6,0.2,0.0,200.0,4.836174226634161
640,157.74334056113466,0.029533382365350816,0.00022882584874856478,0.48104314999127723,63.91105363411538,0.8722564331233104,100.0,0.8,0.001,0.0,200.0,5.891618298252062
641,157.92344013930105,0.02937668124308537,0.0022003657313166406,0.47234390567822926,64.18680768152575,0.7996151404389402,100.0,0.8,0.01,0.0,200.0,5.800936592739187
642,157.98155066592912,0.027211711884903816,0.010144448063658988,0.4415765643842396,65.2945539503633,1.723522349609178,100.0,0.8,0.05,0.0,200.0,5.561912655137028
643,158.86856367042628,0.02561044231485995,0.016802447945546188,0.4098241188333485,65.46817447152823,3.6314764156180472,100.0,0.8,0.09,0.0,200.0,5.369010135202114
644,158.60225701757588,0.02127008731516047,0.029906140255483847,0.34312350468720804,66.97258539585563,10.806100862841015,100.0,0.8,0.2,0.0,200.0,4.907451003167286
645,205.63344839960396,0.39727866044689014,0.0009965772884049215,0.003348135296835383,199.07802623208443,0.050146690519756676,200.0,0.4,0.001,0.0,200.0,9.441674310683569
646,248.04837840763838,0.13895384753556983,0.0054019830286265325,0.26033273720102035,98.69763154793634,2.2325761870019996,200.0,0.4,0.01,0.0,200.0,9.375725117957344
647,205.44837636805926,0.39454430729375284,0.04866580321166125,0.007542423135486112,198.7124824427446,0.018021761581314293,200.0,0.4,0.05,0.0,200.0,9.192453969543779
648,206.10568367908735,0.4065378130663601,0.08910935846732332,-0.005596856466281813,200.7281104526454,0.03068709767573004,200.0,0.4,0.09,0.0,200.0,8.943059735260121
649,206.5014711768499,0.4083879861802913,0.19794389788849887,-0.005404303299768024,200.90274743745547,0.017209374302897023,200.0,0.4,0.2,0.0,200.0,8.1951542197573
650,306.21140555883795,0.3914699807562965,0.0009801517906503966,0.016645793156035912,196.8910889451026,0.029396906470137953,300.0,0.4,0.001,0.0,200.0,13.931413419167098
651,306.28949430980924,0.39336556680324614,0.009760902504721433,0.014310025966199083,197.44663146579933,0.029472857332358385,300.0,0.4,0.01,0.0,200.0,13.867248931056771
652,306.6786401815962,0.3984213367203147,0.04903971750779499,0.007867970022732448,198.84161820045958,0.03651416503341325,300.0,0.4,0.05,0.0,200.0,13.477065886465178
653,306.82196576613626,0.4023461978998388,0.0887684530926656,0.004550582165034998,199.9051795037198,0.040837477810660903,300.0,0.4,0.09,0.0,200.0,12.915238869468979
654,306.6620128031434,0.40531651738153895,0.19788980681647705,0.005841345037073284,200.7058969656852,0.03326605210796802,300.0,0.4,0.2,0.0,200.0,11.594677896179775
655,259.0488412657482,0.02069740528647525,0.00017736211731088583,-0.03535172932688842,96.2401665579591,0.25209815418251685,50.0,0.1,0.001,0.0,300.0,3.4311237482039396
656,258.57298776541,0.01978116210644405,0.0017332337548517955,-0.03241826116020366,96.18044260933023,0.26813871090742375,50.0,0.1,0.01,0.0,300.0,3.4443057750723156
657,257.87189461384185,0.01890537140408764,0.007840946901469118,-0.032114440086049294,96.41146455938117,0.29858917151970504,50.0,0.1,0.05,0.0,300.0,3.5119883273680856
658,256.36627981238684,0.01687306806343903,0.013014161895875755,-0.026941836906905825,96.49058232948184,0.4467962442080236,50.0,0.1,0.09,0.0,300.0,3.5960390763688537
659,50.004367674769206,0.08464874377106762,-0.5421434285114541,-1.9347281485724312,5.0143549025792336,50351.30324934935,50.0,0.1,0.2,0.0,300.0,3.787719280330324
660,244.54981080197823,0.027806499776665612,0.00014188580935057624,0.013351195596794766,92.51714590425415,0.6134352501492079,50.0,0.4,0.001,-0.3,300.0,3.820210179223878
661,243.91458074460883,0.026827708435734694,0.00014903099430087094,0.06798618729369996,91.85506086320343,0.5866032474677317,50.0,0.4,0.001,0.0,300.0,4.513358665069678
662,242.84712238538603,0.024208434138660567,0.0012498505187786097,0.07471146428775448,91.54438916032308,0.6225811169930412,50.0,0.4,0.01,0.0,300.0,4.3438167327979995
663,50.00434338924581,0.08919049089764358,-0.5463025816458517,-1.9345138615155912,5.014275170363705,48803.11860710961,50.0,0.4,0.05,0.0,300.0,4.268161007635321
