,k_opt,n_opt,m_opt,m6_opt,error_opt,k_real,n_real,m_real,m6_real,error
0,49.995642928619596,0.38854382514761776,-0.09508343638091118,0.027495478094191308,0.0010928284561570424,80.0,0.4,0.01,0.0,0.7757553383553137
1,49.99578818205536,0.40433244425689774,-0.055768353043418664,0.00850509431910381,0.0026111691302638687,80.0,0.4,0.05,0.0,0.6193225533182164
2,49.99550827770981,0.4075302951850956,-0.016006588285887906,0.0056915990392444,0.0022251149412485264,80.0,0.4,0.09,0.0,0.49660226114331335
3,49.9978933111942,0.4937218803570484,-0.09398917671929358,0.025984343849296123,0.0006882151499353056,80.0,0.5,0.01,0.0,0.7392675017607379
4,49.99771199533919,0.5067091382354572,-0.05591585104354835,0.00820836131138657,0.0019651029101454493,80.0,0.5,0.05,0.0,0.5883974058351973
5,49.99722121946051,0.4983871184084896,-0.014794102983032622,0.02158761958217442,0.0005960696609892279,80.0,0.5,0.09,0.0,0.4692259323293157
6,49.9987299407738,0.5922825128308697,-0.0929437958161941,0.03203394526961767,0.0001661625817118875,80.0,0.6,0.01,0.0,0.6963912136123599
7,49.99846981636329,0.6029843923980913,-0.055212853323317344,0.016132448339281576,0.000777429577519026,80.0,0.6,0.05,0.0,0.552936526217959
8,49.99773918874722,0.5826981305593395,-0.011262560747855782,0.04890911641523911,0.0001510441775845585,80.0,0.6,0.09,0.0,0.4419973250894578
9,50.00052990263902,0.2513998380835,-0.12096033755105608,0.20702253036627585,0.15357612034393237,90.0,0.4,0.01,0.0,0.9268460819211405
10,49.995717578012226,0.4010347456729897,-0.08107732803508996,0.01292239252224755,0.0026698301704477854,90.0,0.4,0.05,0.0,0.7340591302340018
11,49.995633506385715,0.3994331322558558,-0.0410329716945741,0.016471265464688793,0.0016575372422887855,90.0,0.4,0.09,0.0,0.5833904342498334
12,49.99808381268091,0.5013382585362779,-0.12057611074379519,0.014871196570998698,0.0021933429556511962,90.0,0.5,0.01,0.0,0.8807102295768072
13,49.997833787294724,0.49932335790370413,-0.08031887156603326,0.019060438004970853,0.0012539903267089682,90.0,0.5,0.05,0.0,0.6934658505977256
14,49.99755004191911,0.5000835108999124,-0.04050960201420843,0.019074144705117254,0.0009361041166941846,90.0,0.5,0.09,0.0,0.5505425667415988
15,49.99898823356533,0.5971776186620367,-0.11942421216140621,0.024317671014915367,0.0005997024198408281,90.0,0.6,0.01,0.0,0.8256379795613515
16,49.99865142470014,0.5994420221380616,-0.07996640434510302,0.021699329512343064,0.0005977797392468056,90.0,0.6,0.05,0.0,0.650071696081452
17,49.99818436673737,0.5959402743634289,-0.03936048381021287,0.028164153004925613,0.0002173926862271311,90.0,0.6,0.09,0.0,0.5162306780083259
18,50.00062348437273,0.2617935064382243,-0.1425693423620641,0.19589189273170912,0.1611743473653825,100.0,0.4,0.01,0.0,1.089064348964672
19,49.99577671002424,0.4025739270674323,-0.10396655518665131,0.010888257099796596,0.0037238190519666725,100.0,0.4,0.05,0.0,0.8588657586541839
20,49.995770957974436,0.39984033700552163,-0.06384995770432417,0.01591777239875526,0.0021543576136700804,100.0,0.4,0.09,0.0,0.6780707991593061
21,49.99804744993164,0.4932033906429624,-0.14223603164106607,0.02673027543135704,0.0010250180821404177,100.0,0.5,0.01,0.0,1.03016818489557
22,49.99794115790275,0.4928975297971884,-0.10221051584434863,0.028408281688523825,0.000704715833421873,100.0,0.5,0.05,0.0,0.8071503764741607
23,49.9977775694649,0.4996741493345886,-0.06324309349750327,0.019625437697872308,0.0011295725039781003,100.0,0.5,0.09,0.0,0.6372904890167077
24,49.999022243004305,0.5895384326476879,-0.14071206923513746,0.03623316197674381,0.0001631170090564331,100.0,0.6,0.01,0.0,0.9639169211129711
25,49.99881632519768,0.6013970703529566,-0.10316230327475531,0.0185688364221325,0.0010243345387088852,100.0,0.6,0.05,0.0,0.755438055605963
26,49.99846403233369,0.5964059004781612,-0.062244292350397704,0.02736042019624875,0.0003034355270611039,100.0,0.6,0.09,0.0,0.5954734268837264
27,50.00025646671755,0.07487979706978737,-0.05805561169518234,-0.002544986008565421,0.0025780782783238966,50.0,0.1,0.001,0.0,0.3247305889366347
28,49.999657516923925,0.049476546113879444,0.0797987314338333,0.026711233525620444,0.002284931622175052,50.0,0.1,0.2,0.0,0.17563076435953515
29,49.99957967303214,0.17279353820808874,0.09772623809224804,0.8798609464944961,0.2791000589331878,50.0,0.8,0.001,0.0,0.3670514992045399
30,49.99911205782488,0.059108997482001,0.20541105655904832,0.7055137373035905,0.047675239607776594,50.0,0.8,0.2,0.0,0.1516085368787423
31,50.001390929265185,0.09556728640164146,-0.3193177447407713,-0.00990614546746702,0.02315208034188434,200.0,0.1,0.001,0.0,2.934250170391427
32,50.000606971851624,0.08039078557357043,-0.13879048479833148,0.022069091080526872,0.012607356989175035,200.0,0.1,0.2,0.0,1.1928912602144548
33,50.00037795049254,0.7982074192610407,-0.30120090104543545,0.025510331632529592,0.0006713468382748345,200.0,0.8,0.001,0.0,2.5403700076527906
